"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"10/01","ìy","8","8","0","0","16","9","177.78%","44,985","0","112,403","157,388","96,774","178.9%","9,837","15"
"10/02","ì˙","3","5","0","0","8","9","88.89%","21,586","0","73,193","94,779","96,774","107.74%","11,847","8"
"10/03","åé","5","2","0","0","7","9","77.78%","11,736","0","38,054","49,790","96,774","56.6%","7,113","7"
"10/04","âŒ","6","4","0","0","10","9","111.11%","10,418","0","48,153","58,571","96,774","66.58%","5,857","9"
"10/05","êÖ","2","5","0","0","7","9","77.78%","28,708","0","35,680","64,388","96,774","73.19%","9,198","7"
"10/06","ñÿ","0","3","0","0","3","9","33.33%","1,000","0","32,780","33,780","96,774","38.4%","11,260","3"
"10/07","ã‡","3","7","0","0","10","9","111.11%","5,630","0","74,250","79,880","96,774","90.8%","7,988","9"
"10/08","ìy","4","8","0","0","12","9","133.33%","36,991","0","67,595","104,586","96,774","118.89%","8,716","11"
"10/09","ì˙","7","5","0","0","12","9","133.33%","29,909","0","66,880","96,789","96,774","110.02%","8,066","12"
"10/10","åé","6","3","0","0","9","9","100%","9,227","0","56,872","66,099","96,774","75.13%","7,344","9"
"10/11","âŒ","2","5","0","0","7","10","70%","11,118","0","36,962","48,080","96,774","54.65%","6,869","7"
"10/12","êÖ","3","4","0","0","7","10","70%","21,754","0","43,397","65,151","96,774","74.06%","9,307","6"
"10/13","ñÿ","7","1","0","0","8","10","80%","7,541","0","54,906","62,447","96,774","70.98%","7,806","8"
"10/14","ã‡","3","7","0","0","10","10","100%","20,590","0","84,025","104,615","96,774","118.92%","10,462","10"
"10/15","ìy","5","8","0","0","13","10","130%","26,336","0","86,642","112,978","96,774","128.42%","8,691","13"
"10/16","ì˙","7","4","0","0","11","10","110%","13,500","0","63,652","77,152","96,774","87.7%","7,014","11"
"10/17","åé","3","7","0","0","10","10","100%","35,855","0","55,015","90,870","96,774","103.29%","9,087","10"
"10/18","âŒ","4","2","0","0","6","10","60%","1,967","0","61,267","63,234","96,774","71.88%","10,539","6"
"10/19","êÖ","1","8","0","0","9","10","90%","22,854","0","57,417","80,271","96,774","91.24%","8,919","8"
"10/20","ñÿ","3","5","0","0","8","10","80%","6,969","0","47,155","54,124","96,774","61.52%","6,766","8"
"10/21","ã‡","7","2","0","0","9","10","90%","9,409","0","48,935","58,344","96,774","66.32%","6,483","9"
"10/22","ìy","6","8","0","0","14","10","140%","23,594","0","108,946","132,540","96,774","150.66%","9,467","14"
"10/23","ì˙","5","5","0","0","10","10","100%","14,160","0","60,273","74,433","96,774","84.61%","7,443","9"
"10/24","åé","3","6","0","0","9","10","90%","17,108","0","42,498","59,606","96,774","67.76%","6,623","9"
"10/25","âŒ","5","1","0","0","6","10","60%","12,800","0","40,562","53,362","96,774","60.66%","8,894","6"
"10/26","êÖ","2","5","0","0","7","10","70%","23,236","0","50,417","73,653","96,775","83.72%","10,522","7"
"10/27","ñÿ","0","4","0","0","4","10","40%","12,000","0","24,763","36,763","96,775","41.79%","9,191","4"
"10/28","ã‡","4","1","0","0","5","10","50%","8,918","0","36,699","45,617","96,775","51.85%","9,123","5"
"10/29","ìy","3","11","0","0","14","10","140%","25,347","0","87,904","113,251","96,775","128.73%","8,089","13"
"10/30","ì˙","4","6","0","0","10","10","100%","13,289","0","59,240","72,529","96,775","82.44%","7,253","10"
"10/31","åé","4","5","0","0","9","10","90%","24,235","0","70,881","95,116","96,775","108.12%","10,568","9"
"TOTAL","","125","155","0","0","280","300","93.33%","552,770","0","1,827,416","2,380,186","3,000,000","79.34%","8,501","272"
