"日付","曜日","新規","リピート","紹介","指名","客数","客数 目標","客数 達成率","グランドメニュー売上","クーポン売上","その他売上","合計売上","売上 目標","売上 達成率","客単価","次月予約数"
"09/01","火","8","4","0","2","12","0","0%","60296","0","4337","64633","0","0%","5386","0"
"09/02","水","7","9","0","3","16","0","0%","81658","0","3591","85249","0","0%","5328","0"
"09/03","木","4","7","0","1","11","0","0%","63291","0","3750","67041","0","0%","6094","0"
"09/04","金","9","9","0","4","18","0","0%","86562","0","4226","90788","0","0%","5043","0"
"09/05","土","5","18","0","3","23","0","0%","107197","0","5495","112692","0","0%","4899","0"
"09/06","日","6","16","0","7","22","0","0%","97984","0","6381","104365","0","0%","4743","0"
"09/07","月","6","15","0","6","21","0","0%","95211","0","2718","97929","0","0%","4663","0"
"09/08","火","6","6","0","4","12","0","0%","56664","0","3714","60378","0","0%","5031","0"
"09/09","水","10","12","0","3","22","0","0%","101401","0","8800","110201","0","0%","5009","0"
"09/10","木","7","14","0","5","21","0","0%","96485","0","4935","101420","0","0%","4829","0"
"09/11","金","4","9","0","3","13","0","0%","63700","0","1814","65514","0","0%","5039","0"
"09/12","土","9","10","0","9","19","0","0%","97084","0","2959","100043","0","0%","5265","0"
"09/13","日","4","10","0","2","14","0","0%","72001","0","2459","74460","0","0%","5318","0"
"09/14","月","4","8","0","0","12","0","0%","54205","0","3705","57910","0","0%","4825","0"
"09/15","火","6","7","0","6","13","0","0%","71055","0","3377","74432","0","0%","5725","0"
"09/16","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/17","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/18","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/19","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/20","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/21","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/22","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/23","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/24","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/25","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/26","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/27","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/28","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/29","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"09/30","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","95","154","0","58","249","0","0%","1204794","0","62261","1267055","0","0%","5088","0"
